class,sms
ham,"['go', 'jurong', 'point', ',', 'crazy', '..', 'avail', 'bug', 'n', 'gre', 'world', 'la', 'e', 'buffet', '...', 'cin', 'got', 'am', 'wat', '...']"
ham,"['ok', 'lar', '...', 'jok', 'wif', 'u', 'on', '...']"
spam,"['fre', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'fin', 'tkts', '21st', 'may', '2005.', 'text', 'fa', '87121', 'receiv', 'entry', 'quest', '(', 'std', 'txt', 'rat', ')', '&', 'c', ""'s"", 'apply', '08452810075over18', ""'s""]"
ham,"['u', 'dun', 'say', 'ear', 'hor', '...', 'u', 'c', 'already', 'say', '...']"
ham,"['nah', ""n't"", 'think', 'goe', 'usf', ',', 'liv', 'around', 'though']"
spam,"['freemsg', 'hey', 'darl', ""'s"", '3', 'week', ""'s"", 'word', 'back', '!', ""'d"", 'lik', 'fun', 'stil', '?', 'tb', 'ok', '!', 'xxx', 'std', 'chgs', 'send', ',', 'a1.50', 'rcv']"
ham,"['ev', 'broth', 'lik', 'speak', '.', 'tre', 'lik', 'aid', 'pat', '.']"
ham,"['per', 'request', ""'melle"", 'mel', '(', 'oru', 'minnaminungint', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertun', 'cal', '.', 'press', '*', '9', 'cop', 'friend', 'callertun']"
spam,"['win', '!', '!', 'valu', 'network', 'custom', 'select', 'receive', 'a900', 'priz', 'reward', '!', 'claim', 'cal', '09061701461.', 'claim', 'cod', 'kl341', '.', 'valid', '12', 'hour', '.']"
spam,"['mobl', '11', 'month', '?', 'u', 'r', 'entitl', 'upd', 'latest', 'colo', 'mobl', 'camer', 'fre', '!', 'cal', 'mobl', 'upd', 'co', 'fre', '08002986030']"
ham,"[""'m"", 'gon', 'na', 'hom', 'soon', ""n't"", 'want', 'talk', 'stuff', 'anym', 'tonight', ',', 'k', '?', ""'ve"", 'cri', 'enough', 'today', '.']"
spam,"['six', 'chant', 'win', 'cash', '!', '100', '20,000', 'pound', 'txt', '>', 'csh11', 'send', '87575.', 'cost', '150p/day', ',', '6days', ',', '16+', 'tsandc', 'apply', 'reply', 'hl', '4', 'info']"
spam,"['urg', '!', '1', 'week', 'fre', 'memb', 'a100,000', 'priz', 'jackpot', '!', 'txt', 'word', ':', 'claim', ':', '81010', '&', 'c', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
ham,"[""'ve"", 'search', 'right', 'word', 'thank', 'breath', '.', 'prom', 'wont', 'tak', 'help', 'grant', 'fulfil', 'prom', '.', 'wond', 'bless', 'tim', '.']"
ham,"['dat', 'sunday', '!', '!']"
spam,"['xxxmobilemovieclub', ':', 'us', 'credit', ',', 'click', 'wap', 'link', 'next', 'txt', 'mess', 'click', '>', '>', 'xxxmobilemovieclub.com', '?', 'n=qjkgighjjgcbl']"
ham,"['oh', 'k', '...', ""'m"", 'watch', ':', ')']"
ham,"['eh', 'u', 'rememb', '2', 'spel', 'nam', '...', 'ye', '.', 'v', 'naughty', 'mak', 'v', 'wet', '.']"
ham,"['fin', 'thatao', 'way', 'u', 'feel', '.', 'thatao', 'way', 'got', 'b']"
spam,"['england', 'v', 'macedon', '-', 'dont', 'miss', 'goals/team', 'new', '.', 'txt', 'ur', 'nat', 'team', '87077', 'eg', 'england', '87077', 'try', ':', 'wal', ',', 'scotland', '4txt/i141.20', 'poboxox36504w45wq', '16+']"
ham,"['sery', 'spel', 'nam', '?']"
ham,"['ium', 'going', 'try', '2', 'month', 'ha', 'ha', 'jok']"
ham,"['i_', 'pay', 'first', 'lar', '...', 'da', 'stock', 'comin', '...']"
ham,"['aft', 'fin', 'lunch', 'go', 'str', 'lor', '.', 'ard', '3', 'smth', 'lor', '.', 'u', 'fin', 'ur', 'lunch', 'already', '?']"
ham,"['ffffffffff', '.', 'alright', 'way', 'meet', 'soon', '?']"
ham,"['forc', 'eat', 'slic', '.', ""'m"", 'real', 'hungry', 'tho', '.', 'suck', '.', 'mark', 'get', 'worry', '.', 'know', ""'m"", 'sick', 'turn', 'pizz', '.', 'lol']"
ham,"['lol', 'alway', 'convint', '.']"
ham,"['catch', 'bus', '?', 'fry', 'eg', '?', 'mak', 'tea', '?', 'eat', 'mom', ""'s"", 'left', 'din', '?', 'feel', 'lov', '?']"
ham,"[""'m"", 'back', '&', 'amp', ';', ""'re"", 'pack', 'car', ',', ""'ll"", 'let', 'know', ""'s"", 'room']"
ham,"['ahhh', '.', 'work', '.', 'vagu', 'rememb', '!', 'feel', 'lik', '?', 'lol']"
ham,"['wait', ""'s"", 'stil', 'clear', ',', 'sur', 'sarcast', ""'s"", 'x', ""n't"", 'want', 'liv', 'us']"
ham,"['yeah', 'got', '2', 'v', 'apologet', '.', 'n', 'fal', 'actin', 'lik', 'spoilt', 'child', 'got', 'caught', '.', 'til', '2', '!', 'wo', ""n't"", 'go', '!', 'bad', 'che', '.', '?']"
ham,"['k', 'tel', 'anyth', '.']"
ham,"['fear', 'faint', 'housework', '?', 'quick', 'cupp']"
spam,"['thank', 'subscrib', 'rington', 'uk', 'mobl', 'charg', 'a5/month', 'pleas', 'confirm', 'reply', 'ye', '.', 'reply', 'charg']"
ham,"['yup', '...', 'ok', 'go', 'hom', 'look', 'tim', 'msg', 'i_', '...', 'xuhu', 'going', 'learn', '2nd', 'may', 'lesson', '8am']"
ham,"['oop', ',', ""'ll"", 'let', 'know', 'room', ""'s"", 'don']"
ham,"['see', 'let', 'b', 'car']"
ham,"['anyth', 'lor', '...', 'u', 'decid', '...']"
ham,"['hello', '!', ""'s"", 'saturday', 'go', '?', 'text', 'see', ""'d"", 'decid', 'anyth', 'tomo', '.', ""'m"", 'try', 'invit', 'anyth', '!']"
ham,"['pls', 'go', 'ahead', 'wat', '.', 'want', 'sur', '.', 'gre', 'weekend', '.', 'abiol']"
ham,"['forget', 'tel', '?', 'want', ',', 'nee', ',', 'crav', '...', '...', 'lov', 'sweet', 'arab', 'stee', '...', 'mmmmmm', '...', 'yummy']"
spam,"['07732584351', '-', 'rodg', 'burn', '-', 'msg', '=', 'tri', 'cal', 'reply', 'sms', 'fre', 'nok', 'mobl', '+', 'fre', 'camcord', '.', 'pleas', 'cal', '08000930705', 'delivery', 'tomorrow']"
ham,"['see', '?']"
ham,"['gre', '!', 'hop', 'lik', 'man', 'wel', 'endow', '.', '&', 'lt', ';', '#', '&', 'gt', ';', 'inch', '...']"
ham,"['cal', '..', 'mess', '..', 'miss', 'cal']"
ham,"[""n't"", 'get', 'hep', 'b', 'immun', 'niger', '.']"
ham,"['fair', 'enough', ',', 'anyth', 'going', '?']"
ham,"['yeah', 'hop', ',', 'tyl', 'ca', ""n't"", 'could', 'mayb', 'ask', 'around', 'bit']"
ham,"['u', ""n't"", 'know', 'stubborn', '.', ""n't"", 'ev', 'want', 'go', 'hospit', '.', 'kept', 'tel', 'mark', ""'m"", 'weak', 'suck', '.', 'hospit', 'weak', 'suck', '.']"
